date,title,link
2018-10-04,Navy helps evacuate survivors from Palu,https://en.antaranews.com/news/119194/navy-helps-evacuate-survivors-from-palu
2018-09-18,Indonesian Navy ready to commission PT PAL-assembled submarine,https://en.antaranews.com/news/118650/indonesian-navy-ready-to-commission-pt-pal-assembled-submarine
2018-09-15,Indonesian Navy foils attempt to smuggle crystal meth from Malaysia,https://en.antaranews.com/news/118567/indonesian-navy-foils-attempt-to-smuggle-crystal-meth-from-malaysia
2018-08-11,Navy seizes nearly 2 tons of cocaine in S. Mexico,https://en.antaranews.com/news/117250/navy-seizes-nearly-2-tons-of-cocaine-in-s-mexico
2018-07-16,Indonesian navy foils attempt to smuggle 5.2 kilograms of crystal meth,https://en.antaranews.com/news/116661/indonesian-navy-foils-attempt-to-smuggle-52-kilograms-of-crystal-meth
2018-07-11,"Indian Warship Calls at Sabang, Aceh",https://en.antaranews.com/news/116556/indian-warship-calls-at-sabang-aceh
2018-06-23,Indonesian navy operates sonar scanner to investigate lake Toba incident,https://en.antaranews.com/news/116263/indonesian-navy-operates-sonar-scanner-to-investigate-lake-toba-incident
2018-04-09,Navy seizes two foreign ships for alleged illegal fishing,https://en.antaranews.com/news/115253/navy-seizes-two-foreign-ships-for-alleged-illegal-fishing
2018-02-28,Indonesian Navy expects to have 20 missile boats by 2024,https://en.antaranews.com/news/114812/indonesian-navy-expects-to-have-20-missile-boats-by-2024
2018-02-11,Indonesian Navy nabs MV Sunrise Glory carrying a ton of methamphetamine,https://en.antaranews.com/news/114585/indonesian-navy-nabs-mv-sunrise-glory-carrying-a-ton-of-methamphetamine
2018-02-10,Indonesian Navy confiscates one ton of methamphetamine in Batam,https://en.antaranews.com/news/114579/indonesian-navy-confiscates-one-ton-of-methamphetamine-in-batam
2017-10-30,Second guided-missile frigate handed over to Indonesian Navy,https://en.antaranews.com/news/113271/second-guided-missile-frigate-handed-over-to-indonesian-navy
2017-08-29,PAL speeds up ship manufacture for Indonesian Navy,https://en.antaranews.com/news/112415/pal-speeds-up-ship-manufacture-for-indonesian-navy
2017-08-22,Navy adds ships to look for collision victims,https://en.antaranews.com/news/112358/navy-adds-ships-to-look-for-collision-victims
2017-06-16,Navy calls on fishermen to return to regular activities,https://en.antaranews.com/news/111414/navy-calls-on-fishermen-to-return-to-regular-activities
2017-05-17,Navy tightens supervision of East Java`s southern coastal areas,https://en.antaranews.com/news/110957/navy-tightens-supervision-of-east-javas-southern-coastal-areas
2017-04-02,Indonesian navy explodes and sinks Philippines fishing boat,https://en.antaranews.com/news/110258/indonesian-navy-explodes-and-sinks-philippines-fishing-boat
2017-04-01,"US, Singapore praise Indonesian Navy`s performance",https://en.antaranews.com/news/110247/us-singapore-praise-indonesian-navys-performance
2017-03-26,Navy foils attempt to smuggle hundreds of tons of fuel,https://en.antaranews.com/news/110155/navy-foils-attempt-to-smuggle-hundreds-of-tons-of-fuel
2017-01-25,No deadline in search for missing Indonesian navy soldiers,https://en.antaranews.com/news/109110/no-deadline-in-search-for-missing-indonesian-navy-soldiers
2016-10-25,Indonesian navy submarine launched in S Korea,https://en.antaranews.com/news/107369/indonesian-navy-submarine-launched-in-s-korea
2016-10-18,KRI Bima Suci launched for replacing KRI Dewaruci,https://en.antaranews.com/news/107268/kri-bima-suci-launched-for-replacing-kri-dewaruci
2016-10-13,Navy foils attempt of smuggling in goods,https://en.antaranews.com/news/107203/navy-foils-attempt-of-smuggling-in-goods
2016-09-14,Jokowi visits East Java to observe navy drill,https://en.antaranews.com/news/106709/jokowi-visits-east-java-to-observe-navy-drill
2016-08-30,Navy to conduct top scale exercise,https://en.antaranews.com/news/106490/navy-to-conduct-top-scale-exercise
2016-08-13,Indonesian navy detains pirate robbing singapore-flagged tanker,https://en.antaranews.com/news/106235/indonesian-navy-detains-pirate-robbing-singapore-flagged-tanker
2016-07-20,Navy HQ agrees to upgrade Nabire Naval Post to naval base,https://en.antaranews.com/news/105811/navy-hq-agrees-to-upgrade-nabire-naval-post-to-naval-base
2016-07-19,Navy to expand quick response units to eastern Indonesia,https://en.antaranews.com/news/105776/navy-to-expand-quick-response-units-to-eastern-indonesia
2016-06-22,Fishery ministry should leave sea security to navy: Lawmaker,https://en.antaranews.com/news/105351/fishery-ministry-should-leave-sea-security-to-navy-lawmaker
2016-06-21,Flock of Chinese boat in Natuna Sea part of strategy: Navy admiral,https://en.antaranews.com/news/105320/flock-of-chinese-boat-in-natuna-sea-part-of-strategy-navy-admiral
2016-06-21,Indonesian navy denies shooting Chinese fisherman,https://en.antaranews.com/news/105315/indonesian-navy-denies-shooting-chinese-fisherman
2016-06-18,Navy forces seize nine Philippine fishing boats for poaching,https://en.antaranews.com/news/105285/navy-forces-seize-nine-philippine-fishing-boats-for-poaching
2016-06-18,Indonesian Navy ship again seizes Chinese fishing boat in Natuna,https://en.antaranews.com/news/105284/indonesian-navy-ship-again-seizes-chinese-fishing-boat-in-natuna
2016-06-15,Indonesian navy detains four Philippines-flagged vessels in N. Maluku,https://en.antaranews.com/news/105231/indonesian-navy-detains-four-philippines-flagged-vessels-in-n-maluku
2016-06-03,Navy detains dozens of illegal Filipino fishermen in Sangihe,https://en.antaranews.com/news/105004/navy-detains-dozens-of-illegal-filipino-fishermen-in-sangihe
2016-05-31,Two foreign vessels detained in northern waters of Papua,https://en.antaranews.com/news/104945/two-foreign-vessels-detained-in-northern-waters-of-papua
2016-04-11,"US Navy officer charged with spying possibly for China, Taiwan",https://en.antaranews.com/news/104108/us-navy-officer-charged-with-spying-possibly-for-china-taiwan
2016-04-09,Tuna Rendang Festival to highlight multilateral Navy Exercise Komodo,https://en.antaranews.com/news/104091/tuna-rendang-festival-to-highlight-multilateral-navy-exercise-komodo
2016-03-25,Indonesian navy to operate Korean submarines,https://en.antaranews.com/news/103856/indonesian-navy-to-operate-korean-submarines
2016-03-22,Indonesian Navy keeps securing Natuna waters: Officer,https://en.antaranews.com/news/103796/indonesian-navy-keeps-securing-natuna-waters-officer
2016-03-12,Indonesian navy HQ inspects preparations for Sail Karimata Strait,https://en.antaranews.com/news/103614/indonesian-navy-hq-inspects-preparations-for-sail-karimata-strait
2016-03-12,"Indonesian, US navies discuss joint exercise scenario",https://en.antaranews.com/news/103612/indonesian-us-navies-discuss-joint-exercise-scenario
2016-01-31,Indonesian navy warship in Timor Leste for heatlh service mission,https://en.antaranews.com/news/102843/indonesian-navy-warship-in-timor-leste-for-heatlh-service-mission
2015-12-27,KRI Usman Harun-359 warship ready to join IFR 2016 in India,https://en.antaranews.com/news/102216/kri-usman-harun-359-warship-ready-to-join-ifr-2016-in-india
2015-12-07,Indonesian Navy commemorates Indonesian Fleet Day,https://en.antaranews.com/news/101896/indonesian-navy-commemorates-indonesian-fleet-day
2015-11-13,Indonesia`s navy chief receives Chinese counterpart,https://en.antaranews.com/news/101433/indonesias-navy-chief-receives-chinese-counterpart
2015-11-12,Indonesian Navy arrests five pirates operating in Malacca Strait,https://en.antaranews.com/news/101415/indonesian-navy-arrests-five-pirates-operating-in-malacca-strait
2015-11-11,Indonesian Navy detains three Filipino fishing vessels,https://en.antaranews.com/news/101397/indonesian-navy-detains-three-filipino-fishing-vessels
2015-11-11,APAC Navy Chiefs and Flag Officers to Gather at the 12th Maritime Security and Coastal Surveillance Summit in Malaysia,https://en.antaranews.com/news/101394/apac-navy-chiefs-and-flag-officers-to-gather-at-the-12th-maritime-security-and-coastal-surveillance-summit-in-malaysia
2015-10-23,Indonesian Navy to use warships to evacuate smog victims,https://en.antaranews.com/news/101139/indonesian-navy-to-use-warships-to-evacuate-smog-victims
2015-10-03,Deputy Chief of Navy from Royal Malaysian Navy to Open 12th Annual Maritime Security and Coastal Surveillance Conference in Kuala Lumpur in December,https://en.antaranews.com/news/100794/deputy-chief-of-navy-from-royal-malaysian-navy-to-open-12th-annual-maritime-security-and-coastal-surveillance-conference-in-kuala-lumpur-in-december
2015-09-02,Warships from five countries to participate in Sail Tomini,https://en.antaranews.com/news/100276/warships-from-five-countries-to-participate-in-sail-tomini
2015-08-18,Indonesian navy marine corps successfully plant one million coral reefs,https://en.antaranews.com/news/100044/indonesian-navy-marine-corps-successfully-plant-one-million-coral-reefs
2015-08-15,Indonesia`s Navy to destroy 12 foreign fishing boats for poaching,https://en.antaranews.com/news/100007/indonesias-navy-to-destroy-12-foreign-fishing-boats-for-poaching
2015-08-07,Navy base in Pontianak promoted into main navy base,https://en.antaranews.com/news/99863/navy-base-in-pontianak-promoted-into-main-navy-base
2015-08-05,Indonesian navy detained 34 foreign fishing vessels in Jan-Aug period,https://en.antaranews.com/news/99819/indonesian-navy-detained-34-foreign-fishing-vessels-in-jan-aug-period
2015-08-05,"Indonesia, US navy join exercise to strengthen bilateral relations",https://en.antaranews.com/news/99791/indonesia-us-navy-join-exercise-to-strengthen-bilateral-relations
2015-06-10,"Indonesia, Australia conduct joint naval exercise",https://en.antaranews.com/news/99163/indonesia-australia-conduct-joint-naval-exercise
2015-05-24,Rohingya muslims found on boat rescued by Myanmar Navy,https://en.antaranews.com/news/99037/rohingya-muslims-found-on-boat-rescued-by-myanmar-navy
2015-05-13,Indonesian Navy to set up sea traffic management center,https://en.antaranews.com/news/98917/indonesian-navy-to-set-up-sea-traffic-management-center
2015-03-23,Three more countries plan to buy warships from Indonesia,https://en.antaranews.com/news/98234/three-more-countries-plan-to-buy-warships-from-indonesia
2015-03-21,PT PAL to build submarine infrastructure in 2016,https://en.antaranews.com/news/98217/pt-pal-to-build-submarine-infrastructure-in-2016
2015-03-12,Indonesian navy sinks three Philippines fishing boats,https://en.antaranews.com/news/98075/indonesian-navy-sinks-three-philippines-fishing-boats
2015-03-06,Navy nabs gang of ship robbers in Malacca Strait,https://en.antaranews.com/news/98011/navy-nabs-gang-of-ship-robbers-in-malacca-strait
2015-02-27,indonesian Navy tightens maritime security,https://en.antaranews.com/news/97918/indonesian-navy-tightens-maritime-security
2015-02-24,"Bomb damages Bahrain mosque as police detain ""terrorist cell""",https://en.antaranews.com/news/97879/bomb-damages-bahrain-mosque-as-police-detain-terrorist-cell
2015-01-23,Navy chief orders for tougher action against illegal fishing,https://en.antaranews.com/news/97503/navy-chief-orders-for-tougher-action-against-illegal-fishing
2015-01-13,Indonesian Navy sinks Filipino fishing boat,https://en.antaranews.com/news/97332/indonesian-navy-sinks-filipino-fishing-boat
2015-01-09,Indonesian navy to use lifting bags to hoist AirAsia's tail,https://en.antaranews.com/news/97295/indonesian-navy-to-use-lifting-bags-to-hoist-airasias-tail
2014-12-29,Navy chief: Indonesia has no intention to procure aircraft carrier,https://en.antaranews.com/news/97069/navy-chief-indonesia-has-no-intention-to-procure-aircraft-carrier
2014-12-22,Spare parts shortage affecting mobility of RI`s warships: Navy chief,https://en.antaranews.com/news/96984/spare-parts-shortage-affecting-mobility-of-ris-warships-navy-chief
2014-11-22,Four Indonesian naval ships on standby in E. Kalimantan for patrol,https://en.antaranews.com/news/96664/four-indonesian-naval-ships-on-standby-in-e-kalimantan-for-patrol
2014-11-19,Indonesian navy deploys 40 patrol boats to curb fuel smuggling,https://en.antaranews.com/news/96622/indonesian-navy-deploys-40-patrol-boats-to-curb-fuel-smuggling
2014-11-19,"Brunei, Malaysia conduct navy exercise",https://en.antaranews.com/news/96610/brunei-malaysia-conduct-navy-exercise
2014-11-17,Expel foreign military ships that enter Indonesian territory: Navy chief,https://en.antaranews.com/news/96571/expel-foreign-military-ships-that-enter-indonesian-territory-navy-chief
2014-10-24,US Navy ship visits North Sumatra,https://en.antaranews.com/news/96230/us-navy-ship-visits-north-sumatra
2014-09-24,Indonesian army makes 2.9 million bio-pore holes,https://en.antaranews.com/news/95811/indonesian-army-makes-29-million-bio-pore-holes
2014-09-09,"Philippine, US troops to hold naval exercises",https://en.antaranews.com/news/95569/philippine-us-troops-to-hold-naval-exercises
2014-08-20,Navy deploys ship to secure president`s visit in Biak,https://en.antaranews.com/news/95367/navy-deploys-ship-to-secure-presidents-visit-in-biak
2014-08-19,US Navy works with Indonesian partners in protecting sunken gravesite,https://en.antaranews.com/news/95360/us-navy-works-with-indonesian-partners-in-protecting-sunken-gravesite
2014-07-09,Indonesian Navy deploys KRI Tjiptadi to secure election,https://en.antaranews.com/news/94743/indonesian-navy-deploys-kri-tjiptadi-to-secure-election
2014-05-26,Navy arrests undersea cable thieves,https://en.antaranews.com/news/94208/navy-arrests-undersea-cable-thieves
2014-05-15,Malaysian navy arrests 66 Indonesian citizens,https://en.antaranews.com/news/94070/malaysian-navy-arrests-66-indonesian-citizens
2014-05-04,Navy steps up sea patrol ahead of OGP meeting,https://en.antaranews.com/news/93875/navy-steps-up-sea-patrol-ahead-of-ogp-meeting
2014-03-29,Chief security minister to open Komodo Multilateral Naval Exercise 2014,https://en.antaranews.com/news/93423/chief-security-minister-to-open-komodo-multilateral-naval-exercise-2014
2014-03-24,US Navy black box locator joins search for missing Malaysian plane,https://en.antaranews.com/news/93315/us-navy-black-box-locator-joins-search-for-missing-malaysian-plane
2014-03-10,Indonesia to send more ships to help find Malaysian Airlines,https://en.antaranews.com/news/93124/indonesia-to-send-more-ships-to-help-find-malaysian-airlines
2014-03-10,Indonesia`s navy to optimally help find missing aircraft,https://en.antaranews.com/news/93119/indonesias-navy-to-optimally-help-find-missing-aircraft
2014-03-09,Indonesian navy joins search for missing Malaysian plane,https://en.antaranews.com/news/93106/indonesian-navy-joins-search-for-missing-malaysian-plane
2014-03-06,Blast believed to be caused by explosive materials: Navy officer,https://en.antaranews.com/news/93030/blast-believed-to-be-caused-by-explosive-materials-navy-officer
2014-03-05,Pondok Dayung ammunition blast not as severe as in 1984's Cilandak,https://en.antaranews.com/news/93029/pondok-dayung-ammunition-blast-not-as-severe-as-in-1984s-cilandak
2014-03-01,Indonesian navy investigating mongolian tanker for carrying illegal crude,https://en.antaranews.com/news/92951/indonesian-navy-investigating-mongolian-tanker-for-carrying-illegal-crude
2014-02-27,"Netherlands Awards ""Prins Hendrik"" honorary medal to Indonesian Navy",https://en.antaranews.com/news/92890/netherlands-awards-prins-hendrik-honorary-medal-to-indonesian-navy
2014-02-08,Usman-Harun navy ship to patrol eastern Indonesia : official,https://en.antaranews.com/news/92586/usman-harun-navy-ship-to-patrol-eastern-indonesia--official
2014-02-06,Usman Harun as name of navy`s newest ship has been through procedures : Spokesman,https://en.antaranews.com/news/92552/usman-harun-as-name-of-navys-newest-ship-has-been-through-procedures--spokesman
2014-01-29,Navy to place warships in Muntok,https://en.antaranews.com/news/92441/navy-to-place-warships-in-muntok
2014-01-27,RI`s navy receives 37 amphibian tanks purchased from Russia,https://en.antaranews.com/news/92406/ris-navy-receives-37-amphibian-tanks-purchased-from-russia
2014-01-22,Australia rejects claims that navy mistreated asylum seekers,https://en.antaranews.com/news/92330/australia-rejects-claims-that-navy-mistreated-asylum-seekers
2014-01-10,Navy build headquarter in W Sulawesi to combat illegal fishing,https://en.antaranews.com/news/92167/navy-build-headquarter-in-w-sulawesi-to-combat-illegal-fishing
2014-01-08,Navy halt treasure raider ship in Riau Islands,https://en.antaranews.com/news/92136/navy-halt-treasure-raider-ship-in-riau-islands
2013-12-16,"RI, China`s navy to hold joint military exercise",https://en.antaranews.com/news/91813/ri-chinas-navy-to-hold-joint-military-exercise
2013-12-05,Indonesian navy to organize int`l maritime security symposium,https://en.antaranews.com/news/91725/indonesian-navy-to-organize-intl-maritime-security-symposium
2013-10-02,Indonesian navy officially commences operations of CN235 MPA aircraft,https://en.antaranews.com/news/90974/indonesian-navy-officially-commences-operations-of-cn235-mpa-aircraft
2013-06-18,US navy football players face charges over alleged rape,https://en.antaranews.com/news/89431/us-navy-football-players-face-charges-over-alleged-rape
2013-06-07,Russia announces permanent Mediterranian naval presence,https://en.antaranews.com/news/89212/russia-announces-permanent-mediterranian-naval-presence
2013-04-26,Indonesia's navy to have maximum combat ability by 2014,https://en.antaranews.com/news/88623/indonesias-navy-to-have-maximum-combat-ability-by-2014
2013-04-14,Iran's navy to launch new destroyer,https://en.antaranews.com/news/88418/irans-navy-to-launch-new-destroyer
2013-04-11,Ministry agrees to scrapping of two Indonesian navy ships,https://en.antaranews.com/news/88372/ministry-agrees-to-scrapping-of-two-indonesian-navy-ships
2013-04-10,Navy detains 71 illegal immigrants from Myanmar and Iraq,https://en.antaranews.com/news/88327/navy-detains-71-illegal-immigrants-from-myanmar-and-iraq
2013-04-09,"US navy readies ""laser attack"" weapon in 2014",https://en.antaranews.com/news/88317/us-navy-readies-laser-attack-weapon-in-2014
2013-03-21,Increased military budget reflects strong deterrent effect: Navy chief,https://en.antaranews.com/news/87915/increased-military-budget-reflects-strong-deterrent-effect-navy-chief
2013-03-13,Navy ready to face Indonesian exodus from Sabah,https://en.antaranews.com/news/87752/navy-ready-to-face-indonesian-exodus-from-sabah
2013-02-08,Indonesian navy to establish primary base in Papua,https://en.antaranews.com/news/87311/indonesian-navy-to-establish-primary-base-in-papua
2013-01-23,Navy hopes navy's third fleet to be operational in 2014,https://en.antaranews.com/news/87040/navy-hopes-navys-third-fleet-to-be-operational-in-2014
2013-01-23,No annexation of Semakau island by Singapore: navy,https://en.antaranews.com/news/87022/no-annexation-of-semakau-island-by-singapore-navy
2012-12-24,SEAL commander`s death an apparent suicide,https://en.antaranews.com/news/86348/seal-commanders-death-an-apparent-suicide
2012-12-17,"President installs new navy, air force chiefs",https://en.antaranews.com/news/86222/president-installs-new-navy-air-force-chiefs
2012-11-30,Weapons stolen from Australian navy vessel,https://en.antaranews.com/news/85890/weapons-stolen-from-australian-navy-vessel
2012-10-24,Indonesia asked to stabilize conflict in South China Sea,https://en.antaranews.com/news/85194/indonesia-asked-to-stabilize-conflict-in-south-china-sea
2012-10-24,Indonesia asked to stabilize conflict in South China Sea,https://en.antaranews.com/news/85192/indonesia-asked-to-stabilize-conflict-in-south-china-sea
2012-10-10,Indonesia to have navy museum: Official,https://en.antaranews.com/news/84964/indonesia-to-have-navy-museum-official
2012-09-14,Benghazi air space shut over security fears,https://en.antaranews.com/news/84517/benghazi-air-space-shut-over-security-fears
2012-09-10,Indonesian navy ships monitoring oil spill in Singapore waters,https://en.antaranews.com/news/84425/indonesian-navy-ships-monitoring-oil-spill-in-singapore-waters
2012-09-01,Indonesian navy launches new warship,https://en.antaranews.com/news/84281/indonesian-navy-launches-new-warship
2012-08-25,Ex-Navy SEAL behind bin Laden book faces threats,https://en.antaranews.com/news/84185/ex-navy-seal-behind-bin-laden-book-faces-threats
2012-08-03,Russia sends navy vessels to Syria base-agencies,https://en.antaranews.com/news/83757/russia-sends-navy-vessels-to-syria-base-agencies
2012-07-26,Chinese navy expects increased cooperation with Indonesian navy,https://en.antaranews.com/news/83644/chinese-navy-expects-increased-cooperation-with-indonesian-navy
2012-07-26,Navy sends ship to evacuate stranded immigrants in Madura,https://en.antaranews.com/news/83643/navy-sends-ship-to-evacuate-stranded-immigrants-in-madura
2012-07-12,US and Indonesian navy warships to conduct joint exercise,https://en.antaranews.com/news/83384/us-and-indonesian-navy-warships-to-conduct-joint-exercise
2012-07-08,Syrian navy undertakes war games,https://en.antaranews.com/news/83297/syrian-navy-undertakes-war-games
